date,days since start,transect location,distance from meadow,ASU.reference,ASU,sieve size,pontogenia,ampithoe,Aoroides,small gammaridians,fat gammaridian.1,caprella,caprella californica,metacaprella kennerlyi,caprella lavescula,heterolaophonte variabillis,porcillidium,mussel,idotea resecata,sand isopod,isopod fabillina,lacuna,nereis,platyneris,eulalia,pugettia,nematode,glebocarcinus oregonensis,Elassochirus gilli,Nubalia,epiactis lisbethae,tanaid,Synopiidae.Bruzelia tuberculata.teeth at base,seastar,urchin,metacarcinus magister,mite,crangon alaskensis,alia carinata,Margarites pupillus,Lirularia succincta,trochidae snail,stalk jelly,clam,phylaplesia,crustacean larvae ,ostricod,straight copepod,drift algea wt,phyllospadix,smithora drift,zostera,fucus,kelps,crustose coraline,desmerestia,pyropia,ulva,other algea,drift.algea.richness,attached smithora,attached filamentous brown,attached ulva,attached algea richness,attached algea wt
25/06/2015,20,0,10m,ASU,4,8,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,5.6,0,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,4,3,12,14,0,0,0,0,0,0,0,0,0,0,4,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,2.8,61,1,9,0,0,0,0,0,0,0,0,1,2,12,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,2,30,0,50,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,1.4,12,1,36,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,1,6,0,5,61,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,0.71,0,0,5,40,0,0,0,0,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,0,10m,ASU,4,0.5,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,yes,0,0,0,0,0,0,yes,0,2,yes,yes,yes,3,0.19
25/06/2015,20,-40,10m,ASU,47,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,5.6,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,4,3,4,10,0,0,0,0,0,2,0,0,0,13,8,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,2.8,6,0,12,0,0,0,0,0,3,0,0,0,5,21,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,2,17,0,5,0,1,1,0,0,1,0,0,1,5,10,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,1.4,10,0,8,0,0,4,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,1,0,0,3,34,0,0,0,0,0,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,0.71,0,0,0,112,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-40,10m,ASU,47,0.5,0,0,0,26,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,yes,0,1,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,5.6,2,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,4,4,0,18,0,0,38,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,2.8,6,0,61,0,0,15,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,1.4,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,1,2,0,0,38,0,0,0,0,0,0,12,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,0.71,0,0,0,90,0,0,0,0,0,35,10,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-80,10m,ASU,12,0.5,0,0,0,42,0,0,0,0,0,18,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,yes,0,yes,yes,0,0,0,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,5.6,5,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,4,8,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,2.8,19,0,68,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,2,8,0,81,0,2,18,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,1.4,21,0,18,0,1,12,0,0,0,12,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
25/06/2015,20,-120,10m,ASU,52,1,8,0,7,130,0,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,yes,0,0,yes,0,0,yes,0,yes,0,4,yes,0,0,1,0.01
