month_replicate_meadow.position,month,identifyer,Site,Seagrass/ASU ,Location in Wolf,Distance along transect (m),Date collected,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod ?,Lacuna variegata,Lacuna vincta,fruit loop,copepod,weird long copepod,,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulalia sp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,8,10,1,,1,3,2,9,1,2,1,,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,0.71,27,,,,2,3,10,,1,,,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,5.6,1,,,,,4,5,,,,2,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,2,10,,,13,1,3,4,,,,,3,2,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,0.5,27,,,,1,,31,1,,,,,,25,4,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,4,,,,5,,1,,,,,,3,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,2.8,5,,,5,1,4,3,,,,3,4,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,1.4,17,,,1,,19,2,,,,,6,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,1,14,,,,,7,10,,,,,1,,,,,,,,,,,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,8,13,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,5.6,16,,,,7,,,2,,,,2,,,,,,1,1,,,1,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,4,10,,,1,12,,,,,,,3,,,,,1,,,1,1,2,1,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,2.8,24,,,,6,1,,1,,,,4,1,,,,1,,,1,,1,,1,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,1.4,80,,,,1,,1,4,,,1,,,,,,3,,,,,,1,5,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,1,81,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,0.71,109,,,,3,,,1,,,,,,,,,1,,,,,,1,7,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,8,5,2,,4,5,2,,,,,,,,,,,,,,,,1,,2,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,5.6,5,,,4,3,3,,,,,,,,,,,,,,,,,,4,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,4,3,,,2,1,1,,,,,2,,2,,,,,,,,,,,7,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,2.8,4,1,,2,,2,,,,,,,1,,,,,,1,,,,,8,1,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,2,1,,,4,,1,,,,,1,,1,,,,,,,,,,,14,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,1.4,5,,,,,3,,,,,,,,,,,,,,,,,,15,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,0.71,14,,,2,,2,,,,,,,,,,,,,,,,,1,,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,0.5,23,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,8,6,1,1,,5,,,1,,,,,,,,,,,,,,,,,,1,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,5.6,1,,1,,3,,,1,,,,,,,,,,,,,,,,1,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,4,7,2,,,4,,1,,,,,,,,,,,,,,,1,,1,,,2,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,2.8,12,,,,3,,1,,,,1,,,,,,,,,,,,,4,,,1,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,2,24,,,,2,3,1,3,,,,,4,,,,,,,,,,,6,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,1.4,99,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,1,113,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,0.71,69,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,0.5,108,,,,2,,,,,,,,,,,,,,,,,,2,2,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,8,18,1,4,1,16,,1,4,,,,,,,,,2,,,,,2,,,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,5.6,18,3,,,5,1,1,,,,,2,,,,,,,2,,,1,,,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,4,2,,,,1,,,,,,,3,1,,,,,,2,,,1,,1,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,2.8,5,,,,1,,2,2,,,,,,,,,2,,,,,4,,2,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,2,22,,,1,1,,,3,,,,1,,,,,,,1,,,,,9,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,1.4,55,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,1,140,,,,,2,,,,,,,,,,,,,,,,1,,1,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,0.71,143,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,0.5,159,,,,,,,3,,,,,,18,,8,,,,,,,3,4,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,5.6,7,2,,,1,1,,,,,,1,,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,4,1,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,2.8,,,,3,,,,,,,,,4,,,,,,,,,,,3,3,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,2,2,,,4,1,,,,,,,,4,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,1.4,3,,,2,1,3,,,,,,,,,,,,,,,,,,6,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,0.71,6,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,0.5,6,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,8,3,,,6,4,1,,,,,,,,,,,,,3,,1,,,,2,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,5.6,3,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,
