month_replicate_meadow.position,match to grazer data,Sample_time,Zone,date,site,sample.id,quadrat.location,macrophyte.id,number.shoots.quadrat,zostra.foil.weight.grams,foil.wet.macro.weight.grams,zostra.foil.dry.weight.grams,zostra.final.dry.macro.weight.grams,microepiphyte.weight.grams,smithora.dry.weight.grams,drift.seaweed.weight.grams,rooted.seaweed.weight.grams
july_-160_edge,y,July,edge,06/07/2015,choked_edge_wolf,a,-160,zostera,7,8.29,100.16,20.55,12.26,0,4.88,5.93,0
july_-40_edge,n,July,edge,06/07/2015,choked_edge_wolf,b,-40,zostera,12,7.9,151.56,26.98,19.08,0,2.98,12.19,0
july_-80_edge,n,July,edge,06/07/2015,choked_edge_wolf,c,-80,zostera,9,7.9,154.93,29.48,21.58,0,6.87,7.27,0
july_-120_edge,y,July,edge,06/07/2015,choked_edge_wolf,d,-120,zostera,7,8.35,129.63,25.67,17.32,0,7.08,9.72,0
july_0_edge,n,July,edge,06/07/2015,choked_edge_wolf,e,0,zostera,8,8.2,113.37,22.35,14.15,0,4.36,9.64,0
july_40_edge,y,July,edge,06/07/2015,choked_edge_wolf,f,40,zostera,10,7.6,147.81,31.53,23.93,0,1.45,6.3,0
july_0_inner,n,July,interior,04/07/2015,choked_inner_wolf,a,0,zostera,4,8.21,58.64,16.47,8.26,0,0.44,0,0
july_40_inner,n,July,interior,04/07/2015,choked_inner_wolf,b,40,zostera,7,7.6,131.76,25.5,17.9,0,0.8,0.68,0
july_-80_inner,y,July,interior,04/07/2015,choked_inner_wolf,c,-80,zostera,6,7.86,98.35,21.14,13.28,0,1.2,0,0
july_-40_inner,y,July,interior,04/07/2015,choked_inner_wolf,d,-40,zostera,5,7.86,100.69,22.33,14.47,0,0.99,0.96,0
july_-160_inner,n,July,interior,04/07/2015,choked_inner_wolf,e,-160,zostera,5,7.67,67.03,16.48,8.81,0,0.96,0,0
july_-120_inner,y,July,interior,04/07/2015,choked_inner_wolf,f,-120,zostera,3,3.24,57.43,10.93,7.69,0,1.01,0,0
june_-120_inner,y,June,interior,06/06/2015,interior,NA,-120,zostera,7,5.7,95.67,13.97,8.27,0,0.9,0,3.25
june_-120_edge,y,June,edge,06/06/2015,edge,NA,-120,zostera,6,5.76,57.26,13.34,7.58,0,3.4,0.5,1.1
june_-80_inner,y,June,interior,06/06/2015,interior,NA,-80,zostera,7,6.34,86.41,8.88,2.54,0,0.1,0,0
june_0_inner,y,June,interior,06/06/2015,interior,NA,0,zostera,12,4.5,140.1,11.18,6.68,0,2.6,0,0
june_40_inner,y,June,interior,06/06/2015,interior,NA,40,zostera,6,4.7,58.08,7.2,2.5,0,1.1,0,0
june_0_edge,y,June,edge,06/06/2015,edge,NA,0,zostera,7,4.82,74.25,20,15.18,0,2.1,2.95,0.32
june_40_edge,y,June,edge,06/06/2015,edge,NA,40,zostera,8,4.3,92.5,10.12,5.82,0,1.4,1.22,0
june_-40_inner,y,June,interior,06/06/2015,interior,NA,-40,zostera,5,4.4,63.96,7.58,3.18,0,0,0,0
june_-40_edge,y,June,edge,06/06/2015,edge,NA,-40,zostera,9,4.89,46.34,11.01,6.12,0,3.2,7.49,0
june_-80_edge,y,June,edge,06/06/2015,edge,NA,-80,zostera,6,3.52,55.01,12.16,8.64,0,4.1,0,0
