Site,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod ?,Lacuna variegata,Lacuna vincta,fruit loop,copepod,weird long copepod,,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulalia sp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae,
Wolf inner F,8,10,1,,1,3,2,9,1,2,1,,,,,,,,,,,,,,,,,,,,
Wolf inner F,0.71,27,,,,2,3,10,,1,,,,,,,,,,,,,,,,,,,,,
Wolf inner F,5.6,1,,,,,4,5,,,,2,,,,,,,,,,,,,,,,,,,
Wolf inner F,2,10,,,13,1,3,4,,,,,3,2,,,,,,,,,,,,,,,,,
Wolf inner F,0.5,27,,,,1,,31,1,,,,,,25,4,,,,,,,,,,,,,,,
Wolf inner F,4,,,,5,,1,,,,,,3,,,,,,,,,,,,,,,,,,
Wolf inner F,2.8,5,,,5,1,4,3,,,,3,4,,,,,,,,,,,,,,,,,,
Wolf inner F,1.4,17,,,1,,19,2,,,,,6,,,,,,,,,,,,,,,,,,
Wolf inner F,1,14,,,,,7,10,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf edge F,8,13,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,,
wolf edge F,5.6,16,,,,7,,,2,,,,2,,,,,,1,1,,,1,,,,,,,,
wolf edge F,4,10,,,1,12,,,,,,,3,,,,,1,,,1,1,2,1,,,,,,,
wolf edge F,2.8/2,24,,,,6,1,,1,,,,4,1,,,,1,,,1,,1,,1,,,,,,
wolf edge F,1.4,80,,,,1,,1,4,,,1,,,,,,3,,,,,,1,5,,,,,,
wolf edge F,1,81,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,
wolf edge F,0.71,109,,,,3,,,1,,,,,,,,,1,,,,,,1,7,,,,,,
wolf edge F,0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner C,8,5,2,,4,5,2,,,,,,,,,,,,,,,,1,,2,,,,,,
Wolf Inner C,5.6,5,,,4,3,3,,,,,,,,,,,,,,,,,,4,,,,,,
Wolf Inner C,4,3,,,2,1,1,,,,,2,,2,,,,,,,,,,,7,,,,,,
Wolf Inner C,2.8,4,1,,2,,2,,,,,,,1,,,,,,1,,,,,8,1,,,,,
Wolf Inner C,2,1,,,4,,1,,,,,1,,1,,,,,,,,,,,14,,,,,,
Wolf Inner C,1.4/1,5,,,,,3,,,,,,,,,,,,,,,,,,15,,,,,,
Wolf Inner C,0.71,14,,,2,,2,,,,,,,,,,,,,,,,,1,,,,,,,
Wolf Inner C,0.5,23,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf edge D,8,6,1,1,,5,,,1,,,,,,,,,,,,,,,,,,1,,,,
wolf edge D,5.6,1,,1,,3,,,1,,,,,,,,,,,,,,,,1,,,,,,
wolf edge D,4,7,2,,,4,,1,,,,,,,,,,,,,,,1,,1,,,2,,,
wolf edge D,2.8,12,,,,3,,1,,,,1,,,,,,,,,,,,,4,,,1,,,
wolf edge D,2,24,,,,2,3,1,3,,,,,4,,,,,,,,,,,6,,,,,,
wolf edge D,1.4,99,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,
wolf edge D,1,113,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
wolf edge D,0.71,69,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
wolf edge D,0.5,108,,,,2,,,,,,,,,,,,,,,,,,2,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
