Month,Year,site_name,line_out_depth,NS_Lat,NS_Long,events_n,salinity_ysi_mean,salinity_ysi_min,salinity_ysi_max,temp_ysi_mean,temp_ysi_min,temp_ysi_max,ph_ysi_mean,ph_ysi_min,ph_ysi_max,salinity_psu_ctd_mean,salinity_psu_ctd_min,salinity_psu_ctd_max,temp_C_ctd_mean,temp_C_ctd_min,temp_C_ctd_max,no2_no3_mean,no2_no3_min,no2_no3_max,po4_mean,po4_min,po4_max,chla_mean,chla_min,chla_max,phaeo_mean,phaeo_min,phaeo_max
3,2015,Choked_Sandspit,0,51.6796333,-128.1170667,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7854,30.7854,30.7854,9.1908,9.1908,9.1908,NA,NA,NA,NA,NA,NA,1.058392305,0.764655438,1.352129173,4.335296969,3.739441484,4.931152454
3,2015,Choked_Sandspit,5,51.6796333,-128.1170667,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8709,30.8709,30.8709,9.1974,9.1974,9.1974,NA,NA,NA,NA,NA,NA,1.093710877,0.761367093,1.426054662,5.394273944,4.266319975,6.522227913
4,2015,Choked_Sandspit,0,51.6796333,-128.1170667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5234,28.573,30.1332,9.6577,9.6243,9.7057,6.564633704,4.717034374,9.18867864,0.735893094,0.571679281,1.024,2.720600292,0.022195235,4.878188601,3.66048638,0.360462845,7.968118179
4,2015,Choked_Sandspit,5,51.6796333,-128.1170667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.60776667,28.5876,30.2705,9.622,9.5812,9.6484,6.728454575,4.980745018,9.225990929,0.766913375,0.631,1.038,2.627192907,0.019300727,4.501737023,2.874083588,0.3816202,5.949633673
5,2015,Choked_Sandspit,0,51.680508,-128.115208,3,27.1,27.1,27.1,10.1,10.1,10.1,7.9,7.9,7.9,30.5409,30.4805,30.6013,10.24825,10.0997,10.3968,4.7975,4.279,5.316,0.65,0.636,0.664,1.788730696,0.96334084,2.614120553,0.822810149,0.778755419,0.866864879
5,2015,Choked_Sandspit,3,51.680508,-128.115208,1,28.6,28.6,28.6,9.7,9.7,9.7,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,Choked_Sandspit,5,51.680508,-128.115208,3,28.3,28.3,28.3,9.8,9.8,9.8,8.1,8.1,8.1,30.5932,30.4904,30.696,10.133,10.1031,10.1629,5.85261988,4.214239759,7.491,0.73649476,0.631989521,0.841,1.65577614,0.831551406,2.480000874,1.12361815,0.91768868,1.32954762
5,2015,Choked_Sandspit,10,51.680508,-128.115208,1,28.3,28.3,28.3,9.8,9.8,9.8,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,Wolf_Beach,0,51.66825,-128.11855,1,28.3,28.3,28.3,9.8,9.8,9.8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,Wolf_Beach,1,51.66825,-128.11855,1,28.3,28.3,28.3,9.8,9.8,9.8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2015,Choked_Lower,0,51.67587286,-128.1225275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.462318425,8.462318425,8.462318425,0.883540812,0.883540812,0.883540812,NA,NA,NA,NA,NA,NA
6,2015,Choked_Lower,4,51.67587286,-128.1225275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.986281837,7.986281837,7.986281837,0.821059328,0.821059328,0.821059328,NA,NA,NA,NA,NA,NA
6,2015,Choked_Sandspit,0,51.680508,-128.115208,4,27.2,27.1,27.3,10.1,10.1,10.1,7.9,7.9,7.9,30.1811,29.7851,30.5771,12.63915,10.9605,14.3178,2.021069292,0.081905904,3.96023268,0.307,0.088,0.526,2.636968541,2.636968541,2.636968541,1.391314681,1.391314681,1.391314681
6,2015,Choked_Sandspit,1,51.680508,-128.115208,3,27.13333333,27,27.3,10.06666667,10,10.1,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2015,Choked_Sandspit,5,51.680508,-128.115208,3,27.3,27.3,27.3,9.9,9.9,9.9,7.9,7.9,7.9,30.5476,30.1349,30.9603,12.48645,10.643,14.3299,3.148543431,0.092404831,6.20468203,0.385,0.079,0.691,1.338341067,1.338341067,1.338341067,0.604495102,0.604495102,0.604495102
