"Month","Year","site_name","line_out_depth","NS_Lat","NS_Long","events_n","salinity_ysi_mean","salinity_ysi_min","salinity_ysi_max","temp_ysi_mean","temp_ysi_min","temp_ysi_max","ph_ysi_mean","ph_ysi_min","ph_ysi_max","salinity_psu_ctd_mean","salinity_psu_ctd_min","salinity_psu_ctd_max","temp_C_ctd_mean","temp_C_ctd_min","temp_C_ctd_max","no2_no3_mean","no2_no3_min","no2_no3_max","po4_mean","po4_min","po4_max","chla_mean","chla_min","chla_max","phaeo_mean","phaeo_min","phaeo_max"
3,"2015","Choked_Sandspit",0,"51.6796333","-128.1170667",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7854,30.7854,30.7854,9.1908,9.1908,9.1908,NA,NA,NA,NA,NA,NA,1.05839230549257,0.764655437780423,1.35212917320471,4.33529696933199,3.73944148421626,4.93115245444772
3,"2015","Choked_Sandspit",5,"51.6796333","-128.1170667",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8709,30.8709,30.8709,9.1974,9.1974,9.1974,NA,NA,NA,NA,NA,NA,1.09371087733363,0.761367092912297,1.42605466175497,5.39427394394933,4.26631997472948,6.52222791316917
4,"2015","Choked_Sandspit",0,"51.6796333","-128.1170667",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5234,28.573,30.1332,9.6577,9.6243,9.7057,6.56463370412079,4.71703437370774,9.18867864039122,0.735893093644305,0.571679280932914,1.024,2.72060029151484,0.0221952353864647,4.87818860109366,3.6604863798506,0.360462844699042,7.96811817940703
4,"2015","Choked_Sandspit",5,"51.6796333","-128.1170667",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6077666666667,28.5876,30.2705,9.622,9.5812,9.6484,6.72845457499959,4.9807450184854,9.22599092881089,0.766913374741266,0.631,1.038,2.62719290729157,0.0193007271711502,4.50173702338598,2.87408358843201,0.381620200253565,5.94963367297176
5,"2015","Choked_Sandspit",0,"51.680508","-128.115208",3,27.1,27.1,27.1,10.1,10.1,10.1,7.9,7.9,7.9,30.5409,30.4805,30.6013,10.24825,10.0997,10.3968,4.7975,4.279,5.316,0.65,0.636,0.664,1.78873069640131,0.963340839874675,2.61412055292794,0.822810149005905,0.778755419077931,0.86686487893388
5,"2015","Choked_Sandspit",3,"51.680508","-128.115208",1,28.6,28.6,28.6,9.7,9.7,9.7,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2015","Choked_Sandspit",5,"51.680508","-128.115208",3,28.3,28.3,28.3,9.8,9.8,9.8,8.1,8.1,8.1,30.5932,30.4904,30.696,10.133,10.1031,10.1629,5.85261987957556,4.21423975915112,7.491,0.736494760449142,0.631989520898284,0.841,1.65577614004808,0.831551406379201,2.48000087371695,1.12361815007749,0.917688679947564,1.32954762020742
5,"2015","Choked_Sandspit",10,"51.680508","-128.115208",1,28.3,28.3,28.3,9.8,9.8,9.8,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2015","Wolf_Beach",0,"51.66825","-128.11855",1,28.3,28.3,28.3,9.8,9.8,9.8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2015","Wolf_Beach",1,"51.66825","-128.11855",1,28.3,28.3,28.3,9.8,9.8,9.8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Lower",0,"51.67587286","-128.1225275",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46231842504049,8.46231842504049,8.46231842504049,0.883540811743337,0.883540811743337,0.883540811743337,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Lower",4,"51.67587286","-128.1225275",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9862818368306,7.9862818368306,7.9862818368306,0.821059327978452,0.821059327978452,0.821059327978452,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Sandspit",0,"51.680508","-128.115208",4,27.2,27.1,27.3,10.1,10.1,10.1,7.9,7.9,7.9,30.1811,29.7851,30.5771,12.63915,10.9605,14.3178,2.02106929204902,0.0819059038685574,3.96023268022948,0.307,0.088,0.526,2.63696854115783,2.63696854115783,2.63696854115783,1.39131468109832,1.39131468109832,1.39131468109832
6,"2015","Choked_Sandspit",1,"51.680508","-128.115208",3,27.1333333333333,27,27.3,10.0666666666667,10,10.1,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Sandspit",5,"51.680508","-128.115208",3,27.3,27.3,27.3,9.9,9.9,9.9,7.9,7.9,7.9,30.5476,30.1349,30.9603,12.48645,10.643,14.3299,3.14854343050688,0.0924048306402233,6.20468203037353,0.385,0.079,0.691,1.33834106669953,1.33834106669953,1.33834106669953,0.604495101806986,0.604495101806986,0.604495101806986
6,"2015","Choked_Sandspit",10,"51.680508","-128.115208",2,27.3,27.3,27.3,9.8,9.8,9.8,7.9,7.9,7.9,31.3995,31.3995,31.3995,10.0538,10.0538,10.0538,10.5978119810599,10.5978119810599,10.5978119810599,0.998,0.998,0.998,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Wolf",0,"51.67293333","-128.11655",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82645580063356,1.82645580063356,1.82645580063356,0.305344274829927,0.305344274829927,0.305344274829927,NA,NA,NA,NA,NA,NA
6,"2015","Choked_Wolf",5,"51.67293333","-128.11655",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.883988063939,5.883988063939,5.883988063939,0.683949585087717,0.683949585087717,0.683949585087717,NA,NA,NA,NA,NA,NA
6,"2015","Wolf_Beach",0,"51.66825","-128.11855",4,26.95,26.7,27.2,10.225,9.9,10.4,7.875,7.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2015","Wolf_Beach",1,"51.66825","-128.11855",3,27.0333333333333,26.9,27.2,10.1666666666667,9.9,10.4,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2015","Wolf_Beach",3,"51.66825","-128.11855",1,27,27,27,10.2,10.2,10.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Choked_Sandspit",0,"51.680508","-128.115208",2,30.7,30.7,30.7,11.2,11.2,11.2,7.9,7.9,7.9,29.6922,29.6922,29.6922,13.019,13.019,13.019,5.02358937933094,5.02358937933094,5.02358937933094,0.563457334734313,0.563457334734313,0.563457334734313,4.54439483138122,4.54439483138122,4.54439483138122,1.39192572419355,1.39192572419355,1.39192572419355
7,"2015","Choked_Sandspit",3,"51.680508","-128.115208",2,31.2,31.2,31.2,11.75,10.6,12.9,7.95,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Choked_Sandspit",5,"51.680508","-128.115208",2,31.1,31.1,31.1,10.8,10.8,10.8,7.9,7.9,7.9,31.2199,31.2199,31.2199,11.2238,11.2238,11.2238,9.92249833388627,9.92249833388627,9.92249833388627,1.07962045952614,1.07962045952614,1.07962045952614,1.59734957131313,1.59734957131313,1.59734957131313,0.9458941099218,0.9458941099218,0.9458941099218
7,"2015","Choked_Sandspit",10,"51.680508","-128.115208",2,31.4,31.4,31.4,11.35,10.2,12.5,7.95,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Wolf_Beach",0,"51.66825","-128.11855",1,31.4,31.4,31.4,13.3,13.3,13.3,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Wolf_Beach",1,"51.66825","-128.11855",2,31.25,31,31.5,12.2,11.2,13.2,7.9,7.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Wolf_Beach",2,"51.66825","-128.11855",1,31.2,31.2,31.2,10.7,10.7,10.7,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2015","Wolf_Beach",5,"51.66825","-128.11855",1,31.7,31.7,31.7,12.6,12.6,12.6,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2015","Choked_Sandspit",0,"51.6796333","-128.1170667",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4066,30.4066,30.4066,14.9629,14.9629,14.9629,2.30321608124837,2.30321608124837,2.30321608124837,0.43050206043404,0.43050206043404,0.43050206043404,2.6811924097406,2.6811924097406,2.6811924097406,3.40650715370656,3.40650715370656,3.40650715370656
8,"2015","Choked_Sandspit",5,"51.6796333","-128.1170667",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8919,30.8919,30.8919,13.575,13.575,13.575,4.43888003642158,4.43888003642158,4.43888003642158,0.568988355412465,0.568988355412465,0.568988355412465,3.25016947840003,3.25016947840003,3.25016947840003,1.44636032688304,1.44636032688304,1.44636032688304
9,"2015","Choked_Sandspit",0,"51.680508","-128.115208",3,30.9,30.9,30.9,11.2,11.2,11.2,7.8,7.8,7.8,30.72115,30.3743,31.068,11.8249,11.1605,12.4893,12.3077739056571,9.50456129640349,15.1109865149107,1.1725,0.982,1.363,1.28212457160851,0.831176141773819,1.7330730014432,1.07267202907618,0.997192650889104,1.14815140726326
9,"2015","Choked_Sandspit",1,"51.680508","-128.115208",1,30.9,30.9,30.9,11.2,11.2,11.2,7.8,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2015","Choked_Sandspit",2,"51.680508","-128.115208",1,30.9,30.9,30.9,11.2,11.2,11.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2015","Choked_Sandspit",5,"51.680508","-128.115208",3,30.9,30.9,30.9,11.1,11.1,11.1,7.9,7.9,7.9,30.8408,30.3946,31.287,11.83,11.1934,12.4666,12.4462714706099,9.59933883411002,15.2932041071098,1.1965,1.01,1.383,1.03391216203577,0.654189445915679,1.41363487815587,0.869819818044853,0.847217091936685,0.892422544153021
10,"2015","Choked_Sandspit",0,"51.6796333","-128.1170667",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8094,29.0067,30.6121,11.58105,11.4514,11.7107,12.9807317571448,11.1117337916262,14.8497297226634,1.2025,1.087,1.318,1.32118763910441,0.602462556474721,2.0399127217341,1.32331306350221,0.604085168052883,2.04254095895154
10,"2015","Choked_Sandspit",5,"51.6796333","-128.1170667",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.05345,29.2106,30.8963,11.5608,11.3578,11.7638,13.1444233159331,11.3346192516288,14.9542273802375,1.1975,1.09,1.305,1.10977023852765,0.602491425788009,1.61704905126729,1.00202791201104,0.701769555086789,1.30228626893529
