Shoot ID,Location,Blades,Dry Blades +foil,Foil,Dry,Smithora,Dry Smithora,Ratio smithora/leaves
Ambient Edge 1,Gwen Wolf Edge B,8.31,4.7,2.55,2.15,5.24,0.98,0.455813953
Ambient Edge 2,Gwen Wolf Edge B,19.18,4.8,1.24,3.56,4.75,0.88,0.247191011
Edge B,Gwen Wolf Edge B,9.52,3.2,1.16,2.04,6.46,1,0.490196078
Edge C,Gwen Wolf Inner B2,8.45,2.7,1.49,1.21,0.26,0.7,0.578512397
Edge D,Gwen Wolf Edge A,7.47,2.3,1.09,1.21,3.07,0.45,0.371900826
Edge F,Gwen Wolf Edge B,7.63,2.3,1.05,1.25,2.69,0.34,0.272
Edge G,Gwen Wolf Edge A,4.95,2.1,1.23,0.87,2.58,0.7,0.804597701
Edge H,Gwen Wolf Inner B2,5.33,2.1,1.11,0.99,0.43,0.46,0.464646465
Edge I,Gwen Wolf Edge A,7.41,2,1.08,0.92,3.58,0.74,0.804347826
Edge K,Gwen Wolf Inner B2,12.42,3.3,1.31,1.99,4.71,0.51,0.256281407
Inner A,Gwen Wolf Edge B,12.07,2.7,1.14,1.56,4.82,0.26,0.166666667
Inner B,Gwen Wolf Inner A1,4.54,3.2,2.36,0.84,0,0,0
Inner D,Gwen Wolf Edge B,10.15,3,1.28,1.72,2.07,0.26,0.151162791
Inner F,Gwen Wolf Inner A1,9.38,2.6,1.32,1.28,0,0,0
Inner G,Gwen Wolf Inner A1,4.38,1.9,1.2,0.7,0,0,0
Inner H,Gwen Wolf Edge B,5.95,3.1,2.18,0.92,1.85,0.26,0.282608696
Inner K,Gwen Wolf Inner B2,19.16,3.7,1.13,2.57,0,0,0
Wolf Interior Ambient 1,Gwen Wolf Inner A1,2.71,2.7,1.35,1.35,0,0,0
Wolf Interior Ambient 2,Gwen Wolf Inner A1,39.67,3.2,2.73,0.47,0,0,0
