date,site,sample.id,quadrat.location,macrophyte.id,number.shoots.quadrat,foil.weight,foil.wet.macro.weight,foil.dry.macro.weight,total.dry.macro.weight,microepiphyte.weight,macroepiphyte.weight,drift.seaweed.weight,rooted.seaweed.weight,rooted.phylospadix,notes
6/7/15,choked_edge_wolf,a,-160,zostera,7,8.29,100.16,20.55,12.26,,4.88,5.93,,,
6/7/15,choked_edge_wolf,b,-40,zostera,12,7.9,151.56,26.98,19.08,,2.98,12.19,,,
6/7/15,choked_edge_wolf,c,-80,zostera,9,7.9,154.93,29.48,21.58,,6.87,7.27,,,
6/7/15,choked_edge_wolf,d,-120,zostera,7,8.35,129.63,25.67,17.32,,7.08,9.72,,,
6/7/15,choked_edge_wolf,e,0,zostera,8,8.2,113.37,22.35,14.15,,4.36,9.64,,,
6/7/15,choked_edge_wolf,f,40,zostera,10,7.6,147.81,31.53,23.93,,1.45,6.3,,,
4/7/15,choked_inner_wolf,a,0,zostera,4,8.21,58.64,16.47,8.26,,0.44,,,,
4/7/15,choked_inner_wolf,b,40,zostera,7,7.6,131.76,25.5,17.9,,0.8,0.68,,,
4/7/15,choked_inner_wolf,c,-80,zostera,6,7.86,98.35,21.14,13.28,,1.2,,,,
4/7/15,choked_inner_wolf,d,-40,zostera,5,7.86,100.69,22.33,14.47,,0.99,0.96,,,
4/7/15,choked_inner_wolf,e,-160,zostera,5,7.67,67.03,16.48,8.81,,0.96,,,,
4/7/15,choked_inner_wolf,f,-120,zostera,3,3.24,57.43,10.93,7.69,,1.01,,,,
10/7/15,choked_sandspit,a,1,zostera,4,8.09,43.31,12.87,4.78,0.1,0.9,,,,
10/7/15,choked_sandspit,b,6,zostera,4,3.17,46.14,8.46,5.29,0.05,2.4,0.07,,,
10/7/15,choked_sandspit,c,2,zostera,4,10.1,69.94,17.2,7.1,,2.12,0.03,,,
10/7/15,choked_sandspit,d,4,zostera,7,8.22,78.44,17.64,9.42,,3.24,0.47,,,
10/7/15,choked_sandspit,e,5,zostera,10,8.35,,22.17,13.82,0.13,2.17,,,"no dry weight, bag weight says 5.35 but it's a sandwich bag",
10/7/15,choked_sandspit,f,3,zostera,6,3.52,57.48,10.49,6.97,,3.2,,,,
25/06/2015,choked_south_pigu,1,1,zostera,5,6.27,95.26,18.65,12.38,,7.41,,,,
25/06/2015,choked_south_pigu,2,2,zostera,9,6.34,139.85,22.85,16.51,,21.35,,,,
25/06/2015,choked_south_pigu,3,3,zostera,4,3.52,52.74,9.24,5.72,,3.67,,,,
25/06/2015,choked_south_pigu,4,4,zostera,7,6.92,156.12,23.86,16.94,,14.57,0.18,,,
25/06/2015,choked_south_pigu,5,5,zostera,5,,,,17.31,,5.23,,,no wet weight,
25/06/2015,choked_south_pigu,6,6,zostera,6,,,,15.76,,10.54,,,no wet weight,
