Name,name2,Lat,Long,scale,group
Inner Ange,inner ang,51.67244774,-128.1179417,1.6,inner
Inner Carolyn,inner carolyn,51.67354962,-128.1179672,2.39,inner
Inner Derrick,inner derek,51.67456225,-128.1177582,3.64,inner
Inner Tristan,inner tristan,51.67495962,-128.1194509,1.36,inner
South Pigu,south pigu,51.67634048,-128.1228858,22.97,kelp
Inner Sandspit,inner sandspit,51.67824958,-128.1145984,28.85,edge
Alcove,alcove,51.67525108,-128.1160256,17.52,edge
Wolf,wolf,51.67277642,-128.1169345,13.98,edge
Flat,flat,51.67491251,-128.1239469,12.52,kelp
North Pigu,north pigu,51.67682936,-128.1226902,64.38,kelp
Outer Sandspit,outer sandspit,51.67784391,-128.1167723,1.85,edge
Lower,lower,51.67892563,-128.1260155,19.62,kelp
