Site,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,Lacuna variegata,Lacuna vincta,fruit loop,copepod,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulaliaÿsp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda
Wolf inner F,8,10,1,0,1,3,2,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,0.71,27,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,5.6,1,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,2,10,0,0,13,1,3,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,0.5,27,0,0,0,1,0,31,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,4,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,2.8,5,0,0,5,1,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,1.4,17,0,0,1,0,19,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner F,1,14,0,0,0,0,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wolf edge F,8,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wolf edge F,5.6,16,0,0,0,7,0,0,2,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0
wolf edge F,4,10,0,0,1,12,0,0,0,0,3,0,0,1,0,0,1,1,2,1,0,0,0,0
wolf edge F,2.8,24,0,0,0,6,1,0,1,0,4,1,0,1,0,0,1,0,1,0,1,0,0,0
wolf edge F,1.4,80,0,0,0,1,0,1,4,1,0,0,0,3,0,0,0,0,0,1,5,0,0,0
wolf edge F,1,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
wolf edge F,0.71,109,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0
wolf edge F,0.5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf Inner C,8,5,2,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Wolf Inner C,5.6,5,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Wolf Inner C,4,3,0,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,7,0,0,0
Wolf Inner C,2.8,4,1,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,8,1,0,0
Wolf Inner C,2,1,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,14,0,0,0
Wolf Inner C,1.4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Wolf Inner C,0.71,14,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wolf Inner C,0.5,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
wolf edge D,8,6,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wolf edge D,5.6,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wolf edge D,4,7,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
wolf edge D,2.8,12,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1
wolf edge D,2,24,0,0,0,2,3,1,3,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0
wolf edge D,1.4,99,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
wolf edge D,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
wolf edge D,0.71,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wolf edge D,0.5,108,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Wolf edge A,8,18,1,4,1,16,0,1,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
Wolf edge A,5.6,18,3,0,0,5,1,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0
