species,species.names,sp.code,function,taxon,group,eelgrss epifauna,functional trait,invasive,Found in LS
Alia carinata,Alia.carinata,Acar,grazer,gastropod,gastropod,yes,,no,yes
Amph E (dorsal teeth),Amph.E..dorsal.teeth.,AmpE,grazer,amphipod,crustacean,yes,,no,yes
Amphipholis pugetana,Amphipholis.pugetana,Apug,detritovore,echinoderm,echinoderm,no,,no,yes
Amphissa columbiana,Amphissa.columbiana,,,gastropod,gastropod,,,no,
Amphitoidae,,,,amphipod,crustacean,,,no,
Ampithoe spp.,Amphithoe.spp.,Amsp,grazer,amphipod,crustacean,yes,herbivorous nest builders,could be ,yes
Anenome,,,,cnidarian,cnidarian,yes,,,
Aoridae,,,,amphipod,crustacean,,,no,
Aoroides columbiae,Aoroides.columbiae,Acol,grazer,amphipod,crustacean,yes,tube dwelling suspension feeders,no,yes
Aoroides spp.,,,,amphipod,crustacean,,,no,
Balanus spp.,Balanus.spp.,Bspp,filter.feeder,barnacle,crustacean,sometimes,,no,yes
Bittium eschrichtii,,,,gastropod,gastropod,,,no,
byozoan,,,,bryozoan,bryozoan,yes,,,
Callianax sp.,Callianax sp.,Olsp,carnivorous scavengers,gastropod,gastropod,yes,**Called Callianax now see page 746,no,yes
Calliostoma sp.,,,,gastropod,gastropod,,,no,
Capitella capitata,,,,polychaete,polychaete,,,no,
Caprella californica,,,grazer,amphipod,crustacean,,,no,
Caprella laeviuscula,,,grazer,amphipod,crustacean,,,no,
Caprella mutica,,,grazer,amphipod,crustacean,,,yes,
Caprella spp.,Caprella.spp.,Cspp,grazer,amphipod,crustacean,yes,"scrape microalgae with mandibles, can be suspension feeders or predators is likely one of Caprella laeviuscula or Caprella californica","Caprella mutica: opportuniustic omniovores, predominantly detritivores",yes
Cirolana harfordi,Cirolana.harfordi,Char,predator,isopod,crustacean,sometimes,,no,yes
Cockle,Cockle,Coc,filter.feeder,bivalve,gastropod,no,family Cardiidae,no,yes
Colus sp.,,,,gastropod,gastropod,,,no,
Copepod,Copepod,Cops,grazer,copepod,crustacean,yes,,no,yes
Cyprideis beaconensis,Cyprideis beaconensis,Cypr,grazer,ostracod,crustacean,yes,**did you only see one species? These guys are a taxonomic nightmare,no,yes
Dinophilus sp.,Dinophilus.sp.,Dspp,suspension.feeder,polychaete,polychaete,no,**may be suspensions feeders,no,yes
Dungeness,,,predator,crab,crustacean,no,,no,
Empty polychaete tubes,,,,,,,,no,
Eogammarus confervicolus,Eogammarus.confervicolus,Econ,predator,amphipod,crustacean,yes,epibenthic omnivores and zooplankton predators,no,yes
Eulalia sp.,,,,polychaete,polychaete,no,,,
Eusiroidea,,,,amphipod,crustacean,,,no,
Exogone sp.,,,,polychaete,polychaete,,,no,
flat worm,,,,,,,,,
fruit loop,,,,,,,,,
Gammaidean Amphipod (<1mm),,,,amphipod,crustacean,,,no,
Halacarid mite,Halacarid.mite,Hasp,predator,arachnid,other,sometimes,"predator, parasite, or phytophagous (eats plants)",no,yes
Haminoaea sp.,,,,gastropod,gastropod,,,no,
Haminoea sp.,Haminoea.sp.,Hmsp,grazer,gastropod,gastropod,yes,probably only vesicula or japonica,no,yes
Harpacticoid copepod (multiple species),Copepod,Cops,grazer,copepod,crustacean,yes,,no,yes
Heptacarpus sp.,,,,decapod,crustacean,,,no,
Hyalellidae,,,,amphipod,crustacean,,,no,
Hyalidae,,,,amphipod,crustacean,,,no,
Idotea montereynensis,,,grazer,isopod,crustacean,yes,,no,
Idotea resecata,Idotea.resecata,,grazer,isopod,crustacean,yes,,no,
Idotea stenops,,,grazer,isopod,crustacean,yes,,,
Idotea wosnesenskii,,,grazer,isopod,crustacean,yes,,,
Isaeidae,,,,amphipod,crustacean,,,no,
Isopod,,,,,,,,,
Janua pagastecheri.HBI,,,,polychaete,polychaete,,,no,
Janua pagenstecheri,Janua.pagastecheri,Jpag,suspension.feeder,polychaete,polychaete,yes,might be sprirorbis,double check,yes
Lacuna spp.,Lacuna.spp.,Lspp,grazer,gastropod,gastropod,yes,,no,yes
Lacuna spp. Eggs,,,,,,,,no,
Lacuna variegata,,,,gastropod,gastropod,,,no,
Lacuna vincta,,,grazer,gastropod,gastropod,,,no,
Lepasterias hexactis,,,,echinoderm,echinoderm,,,no,
Lepidepecreum sp.,,,,amphipod,crustacean,,,no,
Leptochelia dubia,Leptochelia.dubia,Ldub,detritovore,tanaid,crustacean,yes,,no,yes
Lirobittium spp.,Lirobittium spp.,Bisp,grazer,gastropod,gastropod,yes,**called Lirobittium now see page 727,no,yes
Lottia alveus paralella,Lottia.pelta,Lpel,grazer,gastropod,gastropod,yes,,no,yes
Lottia pelta,Lottia.pelta,Lpel,grazer,gastropod,gastropod,yes,,no,yes
Lyonsia californica,Lyonsia.californica,Lcal,filter.feeder,bivalve,gastropod,no,,no,yes
Margarites helicinus,Margarites.helicinus,Mhel,grazer,gastropod,gastropod,yes,,no,yes
Margarites pupillus,,,,gastropod,gastropod,,,no,
Metacarcinus magister,,,,decapod,crustacean,,,no,
Monocorophium achersicum,Monocorophium.achersicum,Mach,grazer,amphipod,crustacean,yes,u-shaped basket suspension feeding,yes,yes
Mytilus trossulus,Mytilus.trossulus,Mtro,filter.feeder,bivalve,gastropod,sometimes,,hybrid with european,yes
Nassarius mendicus,,,,gastropod,gastropod,,,no,
Nebalia sp.,Nebalia.sp.,Nesp,filter.feeder,leptostraca,crustacean,sometimes,,no,yes
Nematoda,Nematode,Nems,unknown,nematode,nematode,sometimes,,no,
Nematode.HBI,Nematode,Nems,unknown,nematode,nematode,sometimes,,no,
Nemertea,Nemertea,Nmrt,unknown,Nemertean,nemertean,yes,http://link.springer.com/chapter/10.1007%2F978-94-009-4063-5_1,no,
Nephtys sp.,Nephtys.sp.,Npsp,predator,deposit feeder,polychaete,no,,no,yes
Nereis sp.,Nereis.sp.,Ners,grazer,polychaete,polychaete,no,,no,yes
Nutricola sp.,,,grazer,bivalve,gastropod,no,,no,
Ostracoda,,,,ostracod,crustacean,,,no,
Pagurus quaylei,Pagurus.quaylei,Pqua,detritovore,decapod,crustacean,sometimes,,no,yes
Pandalidae,Pandalidae,Pasp,detritovore,decapod,crustacean,sometimes,Pandalus danae**found over seagrass meadows,no,yes
Paracerceis cordata,,,grazer,isopod,crustacean,yes,,no,
Pectinidae,,,filter.feeder,bivalve,gastropod,no,,no,
Pentidotea resecata,Idotea.resecata,Ires,grazer,isopod,crustacean,yes,**unaccepted in worms but in LS,no,yes
Pentidotea wosnesenskii,,,grazer,isopod,crustacean,yes,,no,
Pholoe tuberculata,,,,polychaete,polychaete,,,no,
Photis brevipes,Photis.brevipes,Pbre,grazer,amphipod,crustacean,sometimes,marine suspension feeders that build tubes,no,yes
Phyllaplysia taylori,Phyllaplysia.taylori,Ptay,grazer,gastropod,gastropod,yes,,no,yes
Phyllodoce sp.,Anaitides.sp.,Ansp,predator,polychaete,polychaete,no,now called phyllodoce,no,yes
Pisaster ochraceus,Pisaster.ochraceus,Poch,predator,echinoderm,echinoderm,no,,no,yes
Platynereis bicanaliculata,Platynereis.bicanaliculata,Pbic,grazer,polychaete,polychaete,sometimes,,no,yes
Podoceridae,,,,amphipod,crustacean,,,no,
polycheate1,Polycheate1,Odsp,predator,polychaete,polychaete,no,not found here its tropical/atlantic,no,no
Pontogeneia rostrata,Pontogeneia.rostrata,Pros,grazer,amphipod,crustacean,sometimes,"found on algae mixed sediment, free living, molars and palps**detritus and phytoplankton",no,yes
Pugettia richii,Pugettia.richii,Pric,detritovore,decapod,crustacean,yes,low intertidal,no,yes
Pugettia sp.,,,,decapod,crustacean,,,no,
Pycnogonid,Pycnogonum.sp.,Pspp,predator,pychnogonid,other,yes,found at base of anemones on which they feed,,yes
Pycnogonum sp.,Pycnogonum.sp.,Pspp,predator,pychnogonid,other,yes,found at base of anemones on which they feed,no,yes
"Sea anemone (perhaps Epiactis prolifera, difficult to ID)",,,,cnidarian,cnidarian,,,no,
Solaster sp,Solaster.sp,Sspp,predator,echinoderm,echinoderm,no,I changed the sp to spp,no,yes
Stalked jelly,,,,cnidarian,cnidarian,yes,,,
Strongylocentrotus sp.,Strongylocentrotus.sp.,Stsp,detritovore,echinoderm,echinoderm,no,I would change it to sometimes,no,yes
Tegula funebralis,,,,gastropod,gastropod,,,no,
Telmessus cheiragonus,Telmessus.cheiragonus,Tche,predator,decapod,crustacean,no,generalist,no,yes
Terebellidae,,,,polychaete,polychaete,no,,,
Tetrastemmidae,Tetrastemma sp.,Tetr,predator,Nemertean,nemertean,no,,no,yes
Thick nematode?,Thick.nematode?,Tnem,predator,nematode,nematode,sometimes,,no,
Tiny red striped snail,,,,gastropod,gastropod,,,no,
Trochidae,,,grazer,gastropod,gastropod,,,,
Unk Fish Eggs?,,,,,,,,no,
Unk1 (polychaete?),,,,polychaete,polychaete,,,no,
Unk2 (polychaete?),,,,polychaete,polychaete,,,no,
Unknown red Halacarid mite,Halacarid.mite,Hasp,predator,arachnid,other,sometimes,"predator, parasite, or phytophagous (eats plants)",no,yes
weird long copepod,,,,,,,,,
,,,,,,,,,
